Station_Name,Index_No,Basin_Office,Types_of_Station,District,Latitude,Longitude,Elemeter,AgEstdDate,NMS_EstdDate,geometry
NUWAKOT,1004.0,N,CLIMATOLOGY,Nuwakot,27.916667,85.166667,1003,1956-05-01,1971-11-03,POINT (85.166667 27.916667)
DHADING,1005.0,N,PRECIPITATION,Dhading,27.866667,84.933333,1420,1956-05-01,1971-11-03,POINT (84.933333 27.866667)
GUMTHANG,1006.0,K,PRECIPITATION,Sindhupalchok,27.866667,85.866667,2000,1947-07-01,1971-10-03,POINT (85.866667 27.866667)
KAKANI,1007.0,B,AGROMETEOROLOGY,Nuwakot,27.8,85.25,2064,1962-01-01,1971-12-03,POINT (85.25 27.8)
NAWALPUR,1008.0,K,PRECIPITATION,Sindhupalchok,27.8,85.616667,1592,1959-06-01,1971-10-03,POINT (85.616667 27.8)
CHAUTARA,1009.0,K,PRECIPITATION,Sindhupalchok,27.783333,85.716667,1660,1947-07-01,1971-10-03,POINT (85.716667 27.783333)
THANKOT,1015.0,B,PRECIPITATION,Kathmandu,27.683333,85.2,1630,,1966-09-03,POINT (85.2 27.683333)
SARMATHANG,1016.0,K,PRECIPITATION,Sindhupalchok,27.95,85.6,2625,,1970-11-03,POINT (85.6 27.95)
DUBACHAUR,1017.0,K,PRECIPITATION,Sindhupalchok,27.866667,85.566667,1550,,1970-11-03,POINT (85.566667 27.866667)
BAUNEPATI,1018.0,K,PRECIPITATION,Sindhupalchok,27.783333,85.566667,845,,1970-11-03,POINT (85.566667 27.783333)
MANDAN,1020.0,K,PRECIPITATION,Kabhre,27.7,85.65,1365,1947-07-01,1971-10-03,POINT (85.65 27.7)
GODAVARI,1022.0,B,CLIMATOLOGY,Lalitpur,27.583333,85.4,1400,1952-05-01,1972-03-03,POINT (85.4 27.583333)
DOLAL GHAT,1023.0,K,PRECIPITATION,Kabhre,27.633333,85.716667,710,1947-07-01,1971-10-03,POINT (85.716667 27.633333)
DHULIKHEL,1024.0,K,CLIMATOLOGY,Kabhre,27.616667,85.55,1552,1947-06-01,1971-11-03,POINT (85.55 27.616667)
DHAP,1025.0,K,PRECIPITATION,Sindhupalchok,27.916667,85.633333,1240,,1976-12-03,POINT (85.633333 27.916667)
BAHRABISE,1027.0,K,CLIMATOLOGY,Sindhupalchok,27.783333,85.9,1220,1965-12-01,1973-09-03,POINT (85.9 27.783333)
PACHUWAR GHAT,1028.0,K,PRECIPITATION,Kabhre,27.566667,85.75,633,1966-01-01,,POINT (85.75 27.566667)
KHUMALTAR,1029.0,B,AGROMETEOROLOGY,Lalitpur,27.666667,85.333333,1350,,1967-05-03,POINT (85.333333 27.666667)
KATHMANDU AIRPORT,1030.0,B,AERONATICAL,Kathmandu,27.7,85.366667,1337,1949-01-01,1967-09-03,POINT (85.366667 27.7)
SANKHU,1035.0,B,PRECIPITATION,Kathmandu,27.75,85.483333,1449,,1970-09-03,POINT (85.483333 27.75)
PANCHKHAL,1036.0,K,CLIMATOLOGY,Kabhre,27.683333,85.633333,865,,1970-11-03,POINT (85.633333 27.683333)
DHUNIBESI,1038.0,B,CLIMATOLOGY,Dhading,27.716667,85.183333,1085,,1971-04-03,POINT (85.183333 27.716667)
PANIPOKHARI(KATHMANDU),1039.0,B,CLIMATOLOGY,Kathmandu,27.733333,85.333333,1335,1971-04-01,1973-07-03,POINT (85.333333 27.733333)
NAGARKOT,1043.0,B,CLIMATOLOGY,Bhaktapur,27.7,85.516667,2163,1971-05-01,1972-06-03,POINT (85.516667 27.7)
KHOPASI(PANAUTI),1049.0,K,PRECIPITATION,Kabhre,27.583333,85.516667,1517,1971-06-01,1972-06-03,POINT (85.516667 27.583333)
BHAKTAPUR,1052.0,B,PRECIPITATION,Bhaktapur,27.666667,85.416667,1330,1971-05-01,1972-06-03,POINT (85.416667 27.666667)
THAMACHIT,1054.0,N,PRECIPITATION,Rasuwa,28.166667,85.316667,1847,,1971-11-03,POINT (85.316667 28.166667)
DHUNCHE,1055.0,N,CLIMATOLOGY,Rasuwa,28.1,85.3,1982,,1971-11-03,POINT (85.3 28.1)
PANSAYAKHOLA,1057.0,N,PRECIPITATION,Nuwakot,28.016667,85.116667,1240,,1973-01-03,POINT (85.116667 28.016667)
