date,lat,lon,temperature_celsius,total_precip_m,snow_melt_m,large_scale_snow_melt_m,snow_runoff_m,number,expver,t2m_norm,tp_norm,smlt_norm,lblt_norm,src_norm
2025-04-09,30.9,82.49999999999986,-13.102142,4.157424e-05,0.00036982447,276.42896,5.662441e-07,0,0005,-1.2671001,-0.5394415,-0.035773706,-0.93467975,-0.5185055
2025-04-09,30.9,82.59999999999985,-14.115814,4.157424e-05,0.0007356927,276.60083,2.0861626e-07,0,0005,-1.3329753,-0.5394415,0.19028439,-0.90848756,-0.5220737
2025-04-09,30.9,82.69999999999985,-14.912689,3.758073e-05,0.0007100068,276.81763,1.1920929e-07,0,0005,-1.3847615,-0.54169273,0.17441392,-0.8754496,-0.52296567
2025-04-09,30.9,82.79999999999984,-15.559174,2.270937e-05,0.00039505586,276.88208,2.9802322e-08,0,0005,-1.4267744,-0.55007577,-0.02018405,-0.8656275,-0.5238577
2025-04-09,30.9,82.89999999999984,-16.024017,3.2782555e-06,0.00030094385,276.8557,-2.775558e-20,0,0005,-1.456983,-0.5610292,-0.078332804,-0.86964566,-0.5241551
2025-04-09,30.9,82.99999999999983,-15.717377,5.90086e-06,0.00023531541,276.68286,-2.775558e-20,0,0005,-1.4370555,-0.5595508,-0.11888249,-0.8959867,-0.5241551
2025-04-09,30.9,83.09999999999982,-14.350189,3.299117e-05,8.1285834e-05,276.5647,2.9802322e-08,0,0005,-1.3482065,-0.5442799,-0.21405236,-0.91399384,-0.5238577
2025-04-09,30.9,83.19999999999982,-12.051361,6.774068e-05,4.4543296e-05,276.5901,2.9802322e-07,0,0005,-1.1988133,-0.5246914,-0.23675439,-0.91012454,-0.52118164
2025-04-09,30.9,83.29999999999981,-11.227142,5.5253506e-05,5.468726e-05,276.66528,9.536743e-07,0,0005,-1.1452501,-0.5317305,-0.23048677,-0.8986654,-0.51464003
2025-04-09,30.9,83.3999999999998,-11.471283,3.874302e-05,9.312853e-05,276.4983,6.2584877e-07,0,0005,-1.161116,-0.5410375,-0.20673515,-0.9241136,-0.51791084
2025-04-09,30.9,83.4999999999998,-9.760345,4.005432e-05,0.00022824854,277.05493,7.4505806e-07,0,0005,-1.0499278,-0.54029834,-0.12324888,-0.83928645,-0.5167214
2025-04-09,30.9,83.5999999999998,-7.2134705,4.7832727e-05,3.5706908e-05,277.08325,5.9604645e-08,0,0005,-0.8844149,-0.5359136,-0.24221411,-0.83497065,-0.5235604
2025-04-09,30.9,83.69999999999979,-8.055267,4.2676926e-05,4.8831105e-05,277.01,1.4901161e-07,0,0005,-0.9391205,-0.53881997,-0.2341051,-0.84613216,-0.52266836
2025-04-09,30.9,83.79999999999978,-11.074799,2.4706125e-05,3.3620745e-05,276.7356,5.9604645e-08,0,0005,-1.1353498,-0.5489502,-0.24350308,-0.8879504,-0.5235604
2025-04-09,30.9,83.89999999999978,-11.691986,3.7759542e-05,2.9347837e-05,276.63306,2.9802322e-08,0,0005,-1.1754587,-0.54159194,-0.24614318,-0.9035765,-0.5238577
2025-04-09,30.9,83.99999999999977,-10.445892,6.315112e-05,3.6533922e-05,276.66138,1.1920929e-07,0,0005,-1.0944792,-0.52727854,-0.24170312,-0.8992607,-0.52296567
